@relation sviPodaci

@attribute potrosnja numeric
@attribute ucestalost numeric
@attribute redovnostPlacanja numeric
@attribute reklamacije numeric
@attribute kominikacija numeric
@attribute preporuke numeric
@attribute vremenskiKupac numeric
@attribute lojalnost {nelojalan,bronzana,srebrna,zlatna,dijamantska}

@data
178038.2,22,0.72,0.07,0,6,1,bronzana
40503.11,14,0.48,0.39,0,1,2,nelojalan
28103.7,6,0.24,0.73,1,2,0,nelojalan
36585.32,6,0.76,0.47,0,6,3,nelojalan
83339.13,4,0.1,0.19,1,1,6,nelojalan
17831.44,1,0.2,0.51,0,2,5,nelojalan
346371.63,23,0.69,0.01,0,1,7,bronzana
462980.75,6,0.88,0.51,1,7,4,bronzana
24969.12,4,0.3,0.53,1,7,2,bronzana
3284668.39,12,0.85,0.09,1,2,6,nelojalan
5956.32,2,0.38,0.88,0,2,6,nelojalan
82935.48,20,0.35,0.11,1,7,6,bronzana
111116.94,20,0.6,0.92,0,6,6,bronzana
1228981.04,19,0.93,0.26,0,2,4,bronzana
44682.72,11,0.87,0.53,0,0,2,nelojalan
54863.81,10,0.57,0.89,1,1,5,nelojalan
32279.4,6,0.24,0.87,1,5,3,nelojalan
26784.23,5,0.47,0.69,1,0,2,nelojalan
3164.4,1,0.62,0.81,1,7,0,bronzana
29704.73,6,0.71,0.97,0,6,5,nelojalan
27428.36,3,0.7,0.45,0,3,1,nelojalan
40590.48,5,0.36,0.32,0,4,7,nelojalan
14868.68,2,0.68,0.26,1,1,0,nelojalan
122362.98,14,0.33,0.34,0,5,2,nelojalan
359137.44,9,0.6,0.91,1,5,3,nelojalan
60445.17,14,0.03,0.53,0,2,2,nelojalan
188942.45,12,0.35,0.91,1,4,2,nelojalan
34713.14,5,0.65,0.96,1,0,3,nelojalan
282492.84,4,0.21,0.09,1,2,2,nelojalan
52273.37,10,0.09,0.55,0,2,2,nelojalan
20131.2,4,0.82,0.47,1,5,3,nelojalan
66901.79,17,0.84,0.72,0,4,2,bronzana
46132.34,13,0.73,0.18,1,6,3,nelojalan
6639774.89,3,0.11,0.73,1,4,1,bronzana
3080.64,1,0.39,0.14,1,1,6,nelojalan
130111.28,22,0.62,0.49,0,2,2,bronzana
120289.2,20,0.92,0.02,0,6,2,bronzana
24930.08,10,0.72,0.66,0,3,4,nelojalan
81476.43,21,0.86,0.22,0,4,0,bronzana
95256.2,14,0.15,0.14,1,3,2,nelojalan
208572.32,9,0.18,0.04,1,5,4,nelojalan
28906.36,2,0.43,0.77,1,1,6,nelojalan
114512.65,11,0.62,0.73,1,7,3,bronzana
417107.84,10,0.81,0.35,1,2,3,nelojalan
155098.28,9,0.18,0.57,0,2,0,nelojalan
52897.67,6,0.46,0.78,1,5,1,nelojalan
641296.02,13,0.76,0.19,1,4,3,nelojalan
6087.92,1,0.41,0.62,0,7,4,bronzana
91012.82,6,0.79,0.51,0,6,4,nelojalan
29722.28,5,0.7,0.7,1,1,1,nelojalan
22143.39,4,0.15,0.96,1,4,3,nelojalan
87135.71,6,0.63,0.72,0,2,5,nelojalan
11151.28,2,0.69,0.72,1,7,1,bronzana
151267.4,5,0.58,0.42,0,6,6,nelojalan
40122.12,6,0.81,0.96,1,2,5,nelojalan
19960.58,2,0.33,0.53,1,0,5,nelojalan
95660.68,5,0.21,0.78,1,4,5,nelojalan
193382.11,6,0.06,0.3,0,4,7,nelojalan
68234.77,7,0.69,0.15,1,1,0,nelojalan
141666.92,6,0.27,0.87,0,1,2,nelojalan
87427.3,7,0.25,0.88,0,4,2,nelojalan
9933.24,2,0.46,0.81,0,2,6,nelojalan
5330.56,1,0.57,0.42,0,6,0,nelojalan
16539.56,4,0.44,0.64,1,1,5,nelojalan
30403.13,6,0.51,0.94,0,1,4,nelojalan
322046.96,4,0.24,0.77,1,4,4,nelojalan
29798.22,5,0.67,0.06,0,1,3,nelojalan
190225.74,12,0.62,0.97,0,3,0,nelojalan
205589.96,10,0.07,0.67,0,3,3,nelojalan
49096.65,8,0.5,0.45,0,1,5,nelojalan
165118.6,7,0.31,0.23,1,2,0,nelojalan
110962.04,6,0.03,0.82,0,0,2,nelojalan
44011.72,6,0.24,0.39,0,4,2,nelojalan
18762.28,4,0.09,0.48,1,1,6,nelojalan
13326.4,2,0.73,0.22,1,5,7,nelojalan
37361.77,5,0.37,0.68,0,6,1,nelojalan
18874.76,3,0.68,0.74,1,1,1,nelojalan
9424.26,2,0.28,0.66,0,2,3,nelojalan
48210.82,4,0.36,0.08,0,6,6,nelojalan
6600.0,1,0.98,0.41,0,3,3,nelojalan
768396.72,10,0.8,0.81,0,6,6,nelojalan
57700.0,4,0.05,0.83,0,4,0,nelojalan
26453.8,5,0.86,0.73,0,1,3,nelojalan
1.807258673E7,13,0.16,0.16,1,5,2,nelojalan
32299.85,5,0.21,0.62,0,3,2,nelojalan
196837.96,11,0.57,0.62,1,1,5,nelojalan
19048.19,2,0.24,0.25,1,7,4,bronzana
25774.32,4,0.46,0.36,1,7,5,bronzana
45309.44,4,0.61,0.08,1,6,4,nelojalan
44539.42,5,0.65,0.31,0,0,0,nelojalan
27960.08,4,0.41,0.31,0,1,2,nelojalan
15474.02,3,0.13,0.62,1,6,2,nelojalan
119884.0,7,0.41,0.16,1,2,4,nelojalan
18480.0,2,0.64,0.94,0,3,6,nelojalan
11551.64,2,0.97,0.23,0,6,2,nelojalan
135649.52,4,0.95,0.31,1,7,3,bronzana
33521.28,6,0.84,0.87,1,1,2,nelojalan
8103.12,1,0.36,0.41,0,0,7,nelojalan
30984.72,3,0.29,0.44,1,6,5,nelojalan
9063.12,2,0.35,0.98,1,7,7,bronzana
24896.83,4,0.89,0.57,1,1,4,nelojalan
15951.93,3,0.4,0.92,0,0,6,nelojalan
32291.32,4,0.32,0.89,1,6,5,nelojalan
19416.52,3,0.39,0.69,1,0,4,nelojalan
10000.0,1,0.99,0.78,0,4,1,nelojalan
10324.05,3,0.8,0.83,1,4,7,nelojalan
91015.98,3,0.0,0.81,1,2,2,nelojalan
72636.98,8,0.63,0.54,1,4,7,nelojalan
21903.08,3,0.12,0.29,0,0,2,nelojalan
19051.76,2,0.72,0.82,1,6,7,nelojalan
3620.88,2,0.23,0.25,0,7,7,bronzana
37688.52,5,0.98,0.76,0,7,4,bronzana
3591038.16,2,0.22,0.07,0,0,2,nelojalan
20000.0,2,0.16,0.06,1,1,5,nelojalan
10170.0,1,0.14,0.09,1,1,3,nelojalan
42960.24,18,0.22,0.29,1,0,1,bronzana
2130.16,1,0.67,0.17,1,5,5,nelojalan
60717.08,6,0.68,0.99,1,4,4,nelojalan
15950.4,1,0.4,0.42,1,3,0,nelojalan
16917.99,3,0.96,0.12,1,5,3,nelojalan
39776.44,4,0.62,0.34,0,2,1,nelojalan
40622.29,11,0.21,0.35,0,1,2,nelojalan
15090.06,3,0.18,0.75,0,7,0,bronzana
37301.22,1,0.28,0.67,1,2,4,nelojalan
56968.28,7,0.86,0.12,0,5,4,nelojalan
443413.76,4,0.47,0.59,1,3,1,nelojalan
10126.72,1,0.76,0.59,1,0,1,nelojalan
38901.12,6,0.41,0.16,0,2,1,nelojalan
22320.44,4,0.75,0.03,1,0,1,nelojalan
27516.48,3,0.54,0.69,1,2,6,nelojalan
41677.64,5,0.44,0.34,1,4,3,nelojalan
15025.24,1,0.58,0.64,1,7,5,bronzana
107312.0,15,0.59,0.19,1,7,0,bronzana
13795.0,3,0.21,0.01,1,0,3,nelojalan
86209.62,10,0.29,0.47,0,4,5,nelojalan
3142688.51,3,0.79,0.34,0,3,1,srebrna
24526.19,5,0.11,0.3,1,3,1,nelojalan
286576.71,30,0.15,0.48,1,5,7,bronzana
47419.8,7,0.43,0.51,1,3,4,nelojalan
43468.34,6,0.72,0.11,1,0,6,nelojalan
30422.96,5,0.29,0.0,1,0,0,nelojalan
6283.76,2,0.29,0.68,0,7,2,bronzana
17035.25,3,0.56,0.41,1,2,3,nelojalan
35058.62,5,0.96,0.98,0,7,7,bronzana
6948.11,2,0.12,0.71,0,0,6,nelojalan
60375.03,8,0.7,0.57,0,0,6,nelojalan
16288.76,2,0.14,0.74,0,2,4,nelojalan
367385.36,8,0.59,0.0,0,1,5,nelojalan
22025.53,4,0.56,0.79,1,2,4,nelojalan
24123.53,5,0.99,0.92,1,5,5,nelojalan
41592.46,7,0.32,0.23,0,4,4,nelojalan
781611.28,26,0.61,0.39,1,6,0,bronzana
23187.03,4,0.11,0.27,0,1,2,nelojalan
32113.25,4,0.7,0.18,0,4,2,nelojalan
163213.62,3,0.18,0.07,0,4,7,nelojalan
11880.0,2,0.78,0.84,1,6,6,nelojalan
6279.0,1,0.36,0.97,1,4,0,nelojalan
25819.42,4,0.46,0.33,0,2,7,nelojalan
19502.73,4,0.24,0.72,1,6,2,nelojalan
10289.24,3,0.81,0.64,0,2,7,nelojalan
8614.56,2,0.35,0.02,0,2,6,nelojalan
60525.32,4,0.3,0.19,1,1,2,nelojalan
13768.51,2,0.46,0.89,0,2,0,nelojalan
5280.0,1,0.4,0.86,0,5,3,nelojalan
6600.0,1,0.62,0.65,0,6,6,nelojalan
17354.1,4,0.91,0.67,0,4,5,nelojalan
13878.0,2,0.66,0.39,0,6,0,nelojalan
28017.25,4,0.59,0.96,1,2,3,nelojalan
11587.01,3,0.98,0.64,1,1,0,nelojalan
18416.2,4,0.13,0.29,0,6,6,nelojalan
30873.83,4,0.7,0.54,0,5,5,nelojalan
13785.8,3,0.1,0.83,1,6,2,nelojalan
55304.76,6,0.42,0.52,0,1,5,nelojalan
69125.05,5,0.81,0.1,1,2,1,nelojalan
10239.0,2,0.79,0.96,1,0,6,nelojalan
15493.02,3,0.51,0.49,1,1,6,nelojalan
6600.0,1,0.18,0.57,0,7,5,bronzana
4959.0,1,0.36,0.39,1,1,6,nelojalan
47509.0,7,0.26,0.24,1,6,7,nelojalan
5087.0,1,0.22,0.02,0,6,2,nelojalan
23316.46,5,0.34,0.4,0,3,4,nelojalan
72789.86,10,0.04,0.91,1,4,7,nelojalan
52806.42,2,0.18,0.36,0,6,7,nelojalan
88125.99,10,0.79,0.06,1,0,0,nelojalan
11243.55,2,0.42,0.22,1,6,1,nelojalan
51043.16,7,0.7,0.92,0,1,6,nelojalan
12904.36,3,0.25,0.95,1,4,6,nelojalan
16023.0,3,0.13,0.97,1,0,1,nelojalan
64166.0,9,0.93,0.01,1,6,6,nelojalan
12329.0,2,0.26,0.12,0,5,1,nelojalan
137338.96,7,0.5,0.6,1,0,5,nelojalan
16527.65,3,0.72,0.63,1,2,6,nelojalan
6429.24,1,0.12,0.34,0,2,6,nelojalan
70190.55,4,0.42,0.81,1,6,6,nelojalan
6504.24,2,0.75,0.06,0,0,5,nelojalan
12800.8,2,0.5,0.83,1,7,0,bronzana
30984.6,7,0.22,0.0,1,4,7,nelojalan
28895.36,6,0.63,0.51,1,0,5,nelojalan
14367.36,2,0.49,0.55,1,4,4,nelojalan
6348.36,2,0.54,0.21,0,5,5,nelojalan
401081.5,8,0.24,0.42,0,6,5,nelojalan
16610.0,2,0.57,0.45,0,7,5,bronzana
18905.41,4,0.16,0.0,1,2,1,nelojalan
122917.51,16,0.06,0.66,1,5,6,bronzana
870875.12,14,0.81,0.31,0,3,4,nelojalan
152703.78,10,0.88,0.56,1,3,4,nelojalan
259221.22,5,0.95,0.88,0,5,7,nelojalan
67403.22,12,0.15,0.72,1,0,2,nelojalan
19027.13,4,0.87,0.94,0,0,3,nelojalan
27865.84,5,0.91,0.55,1,2,2,nelojalan
9885.1,2,0.95,0.92,1,4,0,nelojalan
28754.72,6,0.99,0.96,0,5,2,nelojalan
21574.35,2,0.13,0.04,1,4,2,nelojalan
12058.15,2,0.67,0.33,1,0,7,nelojalan
9409.08,2,0.98,0.52,1,2,6,nelojalan
145394.78,6,0.87,0.59,0,3,1,nelojalan
4239.68,1,0.41,0.42,1,3,4,nelojalan
66829.89,5,0.44,0.3,0,4,2,nelojalan
38407.44,9,0.95,0.25,1,6,4,nelojalan
4638.0,1,0.47,0.35,0,1,1,nelojalan
68154.8,5,0.46,0.99,0,3,1,nelojalan
37672.36,7,0.91,0.91,1,5,0,nelojalan
95169.66,18,0.19,0.6,1,7,7,bronzana
33577.84,5,0.2,0.25,0,4,6,nelojalan
10079.16,3,0.41,0.44,0,0,6,nelojalan
26242.14,5,0.48,0.45,0,3,6,nelojalan
15712.24,3,0.17,0.96,0,1,5,nelojalan
54647.0,9,0.41,0.42,1,5,0,nelojalan
35375.13,6,0.55,0.22,0,0,1,nelojalan
50759.71,8,0.51,0.87,0,0,7,nelojalan
4720.03,1,0.92,0.66,1,7,6,bronzana
4973.46,2,0.04,0.69,0,5,3,nelojalan
38260.46,6,0.47,0.46,0,5,4,nelojalan
56631.48,6,0.2,0.25,1,1,2,nelojalan
35267.18,5,0.59,0.88,0,0,2,nelojalan
56688.46,8,0.36,0.62,0,5,3,nelojalan
18480.0,3,0.03,0.46,0,2,0,nelojalan
10493.16,3,0.08,0.47,1,5,0,nelojalan
16542.64,4,0.3,0.95,0,2,7,nelojalan
3030.24,1,0.26,0.33,1,3,5,nelojalan
17788.1,4,0.39,0.83,0,0,6,nelojalan
6600.0,1,0.19,0.14,1,1,0,nelojalan
39925.6,7,0.77,0.22,0,4,3,nelojalan
8098.4,1,0.26,0.67,1,1,2,nelojalan
22754.54,4,0.02,0.71,0,1,2,nelojalan
63187.15,9,0.32,0.51,1,2,2,nelojalan
20955.85,4,0.51,0.45,0,7,4,bronzana
29994.28,6,0.62,0.71,0,5,1,nelojalan
36814.89,8,0.55,0.21,0,7,2,bronzana
27130.26,4,0.9,0.93,1,3,7,nelojalan
31138.86,8,0.84,0.0,0,2,6,nelojalan
33878.4,5,0.49,0.22,1,3,3,nelojalan
6982.31,1,0.95,0.1,1,2,3,nelojalan
10649.66,2,0.25,0.86,1,0,6,nelojalan
36557.61,7,0.43,0.97,0,3,0,nelojalan
4317.13,1,0.38,0.29,1,7,5,bronzana
158644.8,11,0.6,0.52,0,5,2,nelojalan
10576.32,2,0.86,0.74,0,2,5,nelojalan
46293.16,9,0.5,0.16,1,4,3,nelojalan
16029.85,3,0.93,0.55,0,0,7,nelojalan
25624.69,4,0.13,0.28,1,4,3,nelojalan
76162.16,6,0.89,0.75,1,3,3,nelojalan
30137.82,6,0.05,0.93,1,4,6,nelojalan
39864.64,12,0.56,0.39,1,4,5,nelojalan
15864.48,3,0.66,0.17,1,6,1,nelojalan
4690.02,1,0.64,0.66,0,6,4,nelojalan
25784.15,5,0.2,0.82,0,4,3,nelojalan
22971.5,4,0.06,0.09,0,2,5,nelojalan
47458.25,6,0.74,0.98,1,4,6,nelojalan
23343.16,4,0.48,0.66,1,2,2,nelojalan
36179.63,8,0.21,0.35,0,4,7,nelojalan
5325.4,2,0.6,0.75,1,0,4,nelojalan
12281.44,4,0.37,0.73,1,3,0,nelojalan
5927.36,1,0.07,0.41,1,7,3,bronzana
21913.0,5,0.22,0.84,0,5,1,nelojalan
7831.69,2,0.9,0.96,1,5,6,nelojalan
70723.0,5,0.84,0.27,1,1,4,nelojalan
91655.08,7,0.51,0.49,0,5,0,nelojalan
33775.32,5,0.04,0.66,1,1,4,nelojalan
33379.27,6,0.64,0.8,1,5,7,nelojalan
81651.22,6,0.11,0.03,1,1,5,nelojalan
78300.56,13,0.62,0.74,1,5,6,nelojalan
51038.14,7,0.77,0.62,0,7,5,bronzana
91488.22,8,0.97,0.86,0,5,2,nelojalan
5181.24,2,0.57,0.46,1,6,4,nelojalan
17145.02,3,0.95,0.72,1,5,0,nelojalan
6919.32,2,0.01,0.22,0,1,2,nelojalan
45858.68,8,0.22,0.93,0,7,1,bronzana
78037.16,6,0.05,0.99,0,0,2,nelojalan
24251.55,6,0.58,0.18,1,3,0,nelojalan
-3960.0,1,0.77,0.93,1,0,1,nelojalan
3631.0,1,0.12,0.12,0,6,6,nelojalan
8657.72,2,0.26,0.8,0,5,2,nelojalan
11642.64,2,0.95,0.63,0,3,1,nelojalan
48800.12,10,0.96,0.75,0,0,7,nelojalan
9778.2,2,0.97,0.86,1,7,7,bronzana
12453.16,3,0.98,0.06,0,5,2,nelojalan
21788.86,4,0.99,0.72,0,1,3,nelojalan
21103.01,5,0.99,0.42,0,2,2,nelojalan
25121.63,4,0.97,0.95,0,4,3,nelojalan
39418.72,8,0.89,0.49,0,1,1,nelojalan
184217.12,10,0.52,0.58,1,1,4,nelojalan
21285.43,4,0.95,0.43,1,4,0,nelojalan
28960.47,5,0.2,0.42,0,0,0,nelojalan
609994.88,12,0.14,0.82,0,3,5,nelojalan
4456.44,1,0.09,0.84,0,0,4,nelojalan
207740.12,12,0.06,0.72,0,7,5,bronzana
16642.48,3,0.01,0.08,1,3,7,nelojalan
65820.83,11,0.85,0.24,0,4,4,nelojalan
15791.61,3,0.25,0.95,1,1,6,nelojalan
19005.45,3,0.69,0.02,0,4,4,nelojalan
4724.48,1,0.71,0.26,1,1,1,nelojalan
2875.0,1,0.46,0.26,0,3,2,nelojalan
24991.56,6,0.19,0.5,1,5,6,nelojalan
55836.36,5,0.55,0.73,0,1,3,nelojalan
16716.85,3,0.18,0.14,0,3,3,nelojalan
23716.98,4,0.26,0.51,1,0,7,nelojalan
88559.32,6,0.75,0.14,1,5,4,nelojalan
23100.0,3,0.95,0.15,1,1,7,nelojalan
12358.44,3,0.54,0.33,0,0,6,nelojalan
151475.68,9,0.82,0.21,0,3,2,nelojalan
3719.12,1,0.5,0.04,1,1,3,nelojalan
3280.32,1,0.03,0.59,1,4,6,nelojalan
22854.72,4,0.67,0.84,0,0,6,nelojalan
69811.9,9,0.24,0.41,0,6,6,nelojalan
65914.28,11,0.21,0.56,0,5,2,nelojalan
17755.4,3,0.3,0.54,1,2,2,nelojalan
22660.0,4,0.89,0.02,1,2,2,nelojalan
47182.7,9,0.54,0.5,0,6,0,nelojalan
165844.33,7,0.03,0.45,1,1,0,nelojalan
15553.16,3,0.53,0.74,0,2,1,nelojalan
7034.44,2,0.54,0.34,1,1,5,nelojalan
41085.82,8,0.14,0.47,1,0,7,nelojalan
69398.73,11,0.05,0.35,1,3,3,nelojalan
115185.18,24,0.84,0.33,0,1,3,bronzana
14380.84,3,0.05,0.59,0,5,7,nelojalan
10755.19,2,0.75,0.96,1,4,4,nelojalan
9728.76,2,0.59,0.05,0,7,7,bronzana
33869.42,6,0.7,0.36,1,0,0,nelojalan
18735.64,3,0.72,0.66,1,4,2,nelojalan
18632.25,2,0.52,0.2,1,5,1,nelojalan
24889.46,4,0.44,0.04,1,3,2,nelojalan
10493.05,2,0.64,0.61,0,1,7,nelojalan
2978.16,1,0.85,0.93,1,4,4,nelojalan
10476.13,2,0.37,0.82,1,2,7,nelojalan
15103.52,3,0.26,0.29,0,7,2,bronzana
14334.28,3,0.22,0.98,1,6,6,nelojalan
24016.64,5,0.33,0.06,1,3,1,nelojalan
5196.96,1,0.97,0.33,1,3,2,nelojalan
23417.84,4,0.86,0.48,0,7,1,bronzana
14067.72,3,0.38,0.4,1,3,7,nelojalan
17142.8,4,0.35,0.55,1,3,0,nelojalan
17688.69,3,0.58,0.55,0,7,3,bronzana
13200.0,2,0.86,0.12,1,2,0,nelojalan
9166.0,2,0.56,0.96,1,5,7,nelojalan
18737.01,4,0.24,0.42,0,3,5,nelojalan
2808.16,1,0.49,0.21,1,1,3,nelojalan
86339.36,6,0.75,0.82,0,5,0,nelojalan
10045.76,2,0.29,0.45,0,7,0,bronzana
16836.41,4,0.17,0.79,0,4,7,nelojalan
19674.33,3,0.01,0.61,0,7,5,bronzana
10307.08,2,0.52,0.69,0,0,3,nelojalan
15295.51,2,0.59,0.6,0,1,0,nelojalan
4937.96,1,0.38,0.94,0,1,2,nelojalan
60584.67,10,0.11,0.9,1,1,3,nelojalan
64137.83,10,0.43,0.68,0,2,6,nelojalan
11260.0,2,0.81,0.7,1,1,0,nelojalan
56993.28,7,0.78,0.46,0,7,7,bronzana
22198.04,7,0.45,0.19,1,1,4,nelojalan
15637.44,3,0.9,0.59,0,0,5,nelojalan
50480.15,2,0.18,0.35,0,4,6,nelojalan
9331.92,2,0.18,0.01,1,6,6,nelojalan
17487.76,2,0.35,0.0,0,4,7,nelojalan
700690.34,20,0.23,0.96,0,2,1,bronzana
29314.24,4,0.08,0.82,1,4,0,nelojalan
29040.56,3,0.72,0.21,1,7,4,bronzana
19428.96,3,0.34,0.59,0,1,4,nelojalan
19327.08,2,0.57,0.3,1,7,2,bronzana
525419.94,8,0.81,0.73,0,1,7,nelojalan
18651.21,3,0.34,0.76,1,0,5,nelojalan
19642.05,4,0.26,0.62,1,4,3,nelojalan
4818.08,1,0.27,0.82,1,5,2,nelojalan
104300.4,3,0.59,0.24,1,0,3,nelojalan
26976.27,10,0.14,0.72,1,7,1,bronzana
14719.0,3,0.94,0.87,1,2,3,nelojalan
8079.48,2,0.27,0.21,1,0,6,nelojalan
8335.24,2,0.52,0.42,0,2,7,nelojalan
19418.01,4,0.82,0.48,1,0,7,nelojalan
4536.32,1,0.52,0.14,1,6,0,nelojalan
49735.49,7,0.13,0.25,0,5,5,nelojalan
18446.12,4,0.1,0.82,0,6,6,nelojalan
22354.0,4,0.09,0.38,0,1,1,nelojalan
18231.01,4,0.17,0.41,1,5,2,nelojalan
8037.51,2,0.59,0.93,0,5,2,nelojalan
44128.18,6,0.44,0.41,0,1,6,nelojalan
457763.9,11,0.41,0.28,0,6,5,nelojalan
32452.97,5,0.75,0.14,1,6,0,nelojalan
191423.49,15,0.53,0.88,0,3,2,nelojalan
21538.2,4,0.38,0.99,0,6,4,nelojalan
842530.0,42,0.32,0.28,0,7,6,bronzana
44754.43,12,0.46,0.45,0,1,1,nelojalan
4509.02,1,0.32,0.4,0,1,6,nelojalan
10379.64,2,0.24,0.64,0,1,1,nelojalan
21759.88,4,0.24,0.03,1,3,3,nelojalan
28675.32,4,0.48,0.2,0,6,4,nelojalan
37958.68,4,0.69,0.93,0,4,4,nelojalan
144191.91,12,0.01,0.05,0,3,2,nelojalan
5366.12,1,0.98,0.46,0,4,5,nelojalan
18702.08,3,0.87,0.13,1,1,5,nelojalan
11697.27,3,0.41,0.29,0,5,0,nelojalan
18207.64,2,0.43,0.04,1,5,4,nelojalan
18220.0,3,0.91,0.33,1,2,4,nelojalan
39537.68,5,0.29,0.53,0,5,7,nelojalan
55162.95,6,0.7,0.66,1,4,0,nelojalan
55801.09,6,0.65,0.7,0,7,4,bronzana
18089.01,4,0.16,0.53,1,4,3,nelojalan
28950.82,5,0.83,0.56,1,3,4,nelojalan
9247.88,2,0.68,0.19,1,0,2,nelojalan
168018.52,29,0.92,0.29,0,3,1,bronzana
53142.85,11,0.53,0.86,0,4,6,nelojalan
15898.12,3,0.9,0.43,0,6,3,nelojalan
2620.24,1,0.91,0.57,0,2,6,nelojalan
23584.85,5,0.86,0.58,1,1,7,nelojalan
9217.15,2,0.58,0.16,1,7,0,bronzana
16297.04,3,0.32,0.08,1,2,6,nelojalan
27050.56,5,0.87,0.92,0,6,3,nelojalan
876748.08,13,0.37,0.35,0,7,0,bronzana
15665.2,3,0.25,0.98,0,2,7,nelojalan
20905.56,4,0.14,0.84,0,4,3,nelojalan
88136.0,6,0.94,0.28,0,0,1,nelojalan
5445.92,1,0.27,0.87,1,2,4,nelojalan
100638.28,11,0.52,0.52,1,6,3,nelojalan
13077.8,3,0.82,0.97,1,7,5,bronzana
9172.48,2,0.52,0.29,1,1,0,nelojalan
23553.5,4,0.15,0.54,0,2,2,nelojalan
10025.81,2,0.19,0.82,1,7,2,bronzana
99164.32,6,0.52,0.48,0,4,5,nelojalan
18485.24,3,0.99,0.97,0,7,2,bronzana
23769.68,4,0.45,0.38,1,7,5,bronzana
20217.51,4,0.24,0.99,0,0,1,nelojalan
4583.64,1,0.86,0.83,1,2,0,nelojalan
24571.81,4,0.58,0.19,1,5,4,nelojalan
60950.27,9,0.3,0.44,1,2,5,nelojalan
50675.04,6,0.77,0.65,1,5,4,nelojalan
18106.05,4,0.95,0.93,0,2,7,nelojalan
22356.96,5,0.45,0.7,0,6,0,nelojalan
51440.96,5,0.41,0.7,1,5,1,nelojalan
10326.24,2,0.7,0.42,1,1,0,nelojalan
13583.2,2,0.27,0.01,0,6,3,nelojalan
47531.16,7,0.25,0.76,1,2,2,nelojalan
20448.56,3,0.45,0.8,1,4,1,nelojalan
3996.0,1,0.48,0.71,0,3,1,nelojalan
24725.32,4,0.06,0.14,1,6,3,nelojalan
2875.0,1,0.87,0.56,0,6,2,nelojalan
9641.36,2,0.15,0.41,1,4,4,nelojalan
39906.44,6,0.15,0.35,1,0,5,nelojalan
85895.15,6,0.28,0.54,1,7,6,bronzana
6600.0,1,0.96,0.64,0,3,0,nelojalan
36918.16,7,0.94,0.57,1,4,4,nelojalan
138296.01,19,0.84,0.92,1,3,6,bronzana
27024.92,6,0.37,0.89,0,4,5,nelojalan
8136.0,2,0.34,0.69,1,2,4,nelojalan
19648.64,5,0.6,0.78,1,6,6,nelojalan
11232.58,2,0.99,0.82,1,3,4,nelojalan
27709.28,3,0.13,0.78,1,6,0,nelojalan
14397.6,3,0.67,0.42,1,4,5,nelojalan
28597.24,5,0.96,0.75,0,5,1,nelojalan
5137.12,1,0.78,0.52,1,2,7,nelojalan
12166.04,3,0.02,0.34,1,5,0,nelojalan
34095.16,5,0.76,0.13,1,3,2,nelojalan
7087.67,1,0.74,0.64,1,2,3,nelojalan
